title,description,component
Hadoop configurations should be read from a distributed system,"Rather than distributing the hadoop configuration files to every data node, compute node, etc, Hadoop should be able to read configuration information (dynamically!) from LDAP, ZooKeeper, whatever.",conf
Mixed up #includes in c++ files.,"src/c++/pipes/impl/HadoopPipes.cc, src/c++/utils/impl/SerialUtils.cc, and src/c++/utils/impl/StringUtils.cc fail to compile due to some mixed up #includes.    When running ant -Dcompile.c++=true clean compile-c++ on svn trunk, I get errors about undeclared functions in the above files, such as:    {quote}       [exec] /home/ricky/h/test/hadoop-0.18.3/src/c++/utils/impl/StringUtils.cc: In function 'uint64_t HadoopUtils::getCurrentMillis()':       [exec] /home/ricky/h/test/hadoop-0.18.3/src/c++/utils/impl/StringUtils.cc:74: error: 'strerror' was not declared in this scope       [exec] /home/ricky/h/test/hadoop-0.18.3/src/c++/utils/impl/StringUtils.cc: In function 'std::string HadoopUtils::quoteString(const std::string&, const char*)':       [exec] /home/ricky/h/test/hadoop-0.18.3/src/c++/utils/impl/StringUtils.cc:103: error: 'strchr' was not declared in this scope       [exec] /home/ricky/h/test/hadoop-0.18.3/src/c++/utils/impl/StringUtils.cc: In function 'std::string HadoopUtils::unquoteString(const std::string&)':       [exec] /home/ricky/h/test/hadoop-0.18.3/src/c++/utils/impl/StringUtils.cc:144: error: 'strtol' was not declared in this scope  {quote}",build
ant clean does not clean the generated api docs,None,build
We often end up with null release information,Often in the web/ui we see the version as null. I suspect something goes wrong in the build script that deletes the generated attribute file.,build
hadoop-config.sh blows away CLASSPATH env,"The bin/hadoop-config.sh script blows away the user's CLASSPATH environment variable when setting up the hadoop-specific classpath. It's possible that this is intentional, but it would make developing contrib service plugins (eg HADOOP-4707) easier if hadoop-config appended rather than replaced CLASSPATH.    Attaching trivial patch to change this behavior.",scripts
Scheduler test code does not compile,HADOOP-5661 removed a deprecated constructor in ClusterStatus without updating callers in {{TestFairScheduler}} or {{TestCapacityScheduler}},test
Configuration should provide a way to write only properties that have been set,"The Configuration.write and .writeXml methods always output all properties, whether they came from a default source, a loaded resource file, or an ""overlay"" set call.  There should be a way to write only the properties that were set, leaving out the properties that came from a default source.    Why?  Suppose I build a configuration on a machine that is not associated with a grid, write it out to XML, then try to load it on a grid gateway.  The configuration would contain all of the defaults picked up from my non-grid machine, and would completely overwrite all the defaults on that grid.    I propose to add methods to write out only the overlay values in Object and XML formats.    I see two options for implementing this:  1) Either completely new methods could be crafted (writeOverlay(DataOutput) and writeOverlayXml(OutputStream), or   2) The existing write() and writeXml() methods could be adjusted to take an additional parameter indicating whether the full properties or overlay properties should be written.  (Of course, the existing write() and writeXml() methods would remain, defaulting to the current behavior.)    Option 1 has less impact to existing code.  Option 2 is a cleaner implementation with less code-duplication involved.  I would much prefer to do option 2.    Oh, and in case it's not clear, I'm offering to make this change and submit it.    Thoughts?    .  Topher",conf
Metric to show number of fs.exists (or number of getFileInfo) calls,"In HADOOP-5712, it would have helped our debugging if I had this metric.",metrics
Should conf/mapred-queue-acls.xml be added to the ignore list?,conf/mapred-queue-acls.xml is auto-generated by ant but it becomes an unknown file to svn.  {noformat}  $ svn status  $ ant  ...  BUILD SUCCESSFUL  Total time: 10 seconds  $ svn status  ?      conf/mapred-queue-acls.xml  {noformat},conf
HTTP metrics interface enable/disable must be configurable,"HADOOP-5469 added a convenient end-run around JMX authentication by revealing the same metrics over HTTP. That's cool, but we need to secure all accesses to our Hadoop cluster, so while this may be enabled by default, we need some configurable way to disable the unauthenticated port.  ","metrics,security"
Changelog is inconsistent with commits,Recent branching has confused some of the entries in the changelog. A quick audit of recent releases would be useful,documentation
IPC call can raise security exceptions when the remote node is running under a security manager,"I'm getting a security exception (java.lang.reflect.ReflectPermission suppressAccessChecks) in RPC.Server.call(), when calling a datanode brought up under a security manager, in method.setAccessible(true)    ",ipc
Add SFTP FileSystem,I have implemented a FileSystem that supports SFTP. It uses JSch (http://www.jcraft.com/jsch/) in order to manage SFTP.,fs
Add map/reduce slot capacity and lost map/reduce slot capacity to JobTracker metrics,It would be nice to have the actual map/reduce slot capacity and the lost map/reduce slot capacity (# of blacklisted nodes * map-slot-per-node or reduce-slot-per-node). This information can be used to calculate a JT view of slot utilization.,metrics
HDFS architecture documentation describes outdated placement policy,"The ""Replica Placement: The First Baby Steps"" section of HDFS architecture document states:    ""...  For the common case, when the replication factor is three, HDFS's placement policy is to put one replica on one node in the local rack, another on a different node in the local rack, and the last on a different node in a different rack. This policy cuts the inter-rack write traffic which generally improves write performance.  ...""    However, according to the ReplicationTargetChooser.chooseTarger()'s code the actual logic is to put the second replica on a different rack as well as the third replica. So you have two replicas located on a different nodes of remote rack and one (initial replica) on the local rack's node. Thus, the sentence should say something like this:    ""For the common case, when the replication factor is three, HDFS's placement policy is to put one replica on one node in the local rack, another on a node in a different (remote) rack, and the last on a different node in the same remote rack. This policy cuts the inter-rack write traffic which generally improves write performance.""  ",documentation
UGI checks in testcases are broken,"While running {{TestMiniMRWithDFSWithDistinctUsers}}, I used this patch to test the ugi checks   {code}  Index: src/hdfs/org/apache/hadoop/hdfs/server/namenode/PermissionChecker.java  ===================================================================  --- src/hdfs/org/apache/hadoop/hdfs/server/namenode/PermissionChecker.java (revision 768189)  +++ src/hdfs/org/apache/hadoop/hdfs/server/namenode/PermissionChecker.java (working copy)  @@ -40,6 +40,7 @@       if (LOG.isDebugEnabled()) {         LOG.debug(""ugi="" + ugi);       }  +    LOG.info(""ugi="" + ugi);          if (ugi != null) {         user = ugi.getUserName();  {code}  While initializing a job, the ugi information should point to jobtracker as jobtracker does a dfs read. But today we will see that the log shows _pi_ as the caller instead of the jobtracker.","security,test"
Split waiting tasks field in JobTracker metrics to individual tasks,"Currently, job tracker metrics reports waiting tasks as a single field in metrics. It would be better if we can split waiting tasks into maps and reduces. ",metrics
Configuration: Hierachical; documented; null-safe; thread-safe,"Patch to configuration to:    * Update documentation to match code  * Make configurations hierarchical  * Remove global REGISTRY of configurations  * Adding global default does not reload child configurations  * (Eventually) make properly thread-safe  * Allow well-behaved overriding with nulls  * Allow future satisfaction of ticket 5708 (with which I agree, but Doug does not).",conf
FsShell  forces creation of default filesystem object and incorrectly uses default filesystem in some places,"i was trying do fs -ls operations on s3n filesystem uris (which was not configured as my default filesystem - the default filesystem was not bought up). these operations failed since they always tried to open the default filesystem (error: """"Bad connection to FS. command aborted.""). but the default filesystem is not required in these cases at all.    the code also shows that the default filesystem is used in certain places (instead of the filesystem of the uri). for instance:    copy(String argv[], ...) { ...         Path dst = new Path(dest);         if (!fs.isDirectory(dst)) {     there are some other places as well.",fs
allow user to specify ami image for hadoop ec2 launch script,ec2 launch scripts don't allow user to specify an ami of their choice (other than by modifying the scripts of course). it would be preferable if the standard script allowed for an override via env variables - it would be easier to build wrapper scripts that launched other amis if this were allowed.,contrib/cloud
Add link to training from website,"Add a link to training videos from the getting started section (like Pig, see http://hadoop.apache.org/pig/).",documentation
Task process hanging on an RPC call,"On a random node on a cluster, I found one task process waiting on an RPC call. The process has been in that state for a few days at least.    ""main"" prio=10 tid=0x08069400 nid=0x6f52 in Object.wait() [0xf7e6c000..0xf7e6d1f8]     java.lang.Thread.State: WAITING (on object monitor)          at java.lang.Object.wait(Native Method)          - waiting on <0xf1215700> (a org.apache.hadoop.ipc.Client$Call)          at java.lang.Object.wait(Object.java:485)          at org.apache.hadoop.ipc.Client.call(Client.java:725)          - locked <0xf1215700> (a org.apache.hadoop.ipc.Client$Call)          at org.apache.hadoop.ipc.RPC$Invoker.invoke(RPC.java:220)          at org.apache.hadoop.mapred.$Proxy0.statusUpdate(Unknown Source)          at org.apache.hadoop.mapred.Task.statusUpdate(Task.java:691)          at org.apache.hadoop.mapred.Task.taskCleanup(Task.java:795)          at org.apache.hadoop.mapred.Child.main(Child.java:176)",ipc
